crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
5A,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Carroll-South Hilton,OTHER/RESIDENTIAL,July,afternoon
6F,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,EASTERN,Oliver,OFFICE BUILDING,July,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,36.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Hampden,SHED/GARAGE,June,evening
5F,BURGLARY,Outside,NO_Weapon_Involved,Male,33.0,WHITE,SOUTHEAST,McElderry Park,OTHER/RESIDENTIAL,June,afternoon
6G,LARCENY,Outside,NO_Weapon_Involved,Female,62.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,OTHER/RESIDENTIAL,June,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,West Forest Park,STREET,June,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Male,67.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Millhill,OTHER/RESIDENTIAL,June,afternoon
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,74.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Millhill,OTHER/RESIDENTIAL,June,evening
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Male,26.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Washington Village/Pigtown,OTHER/RESIDENTIAL,June,evening
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Greenspring,OTHER/RESIDENTIAL,June,evening
3GF,ROBBERY,Outside,HANDGUN,Male,47.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,CONVENIENCE STORE,June,evening
5F,BURGLARY,Outside,NO_Weapon_Involved,Male,28.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Woodberry,OTHER/RESIDENTIAL,June,afternoon
4D,AGG. ASSAULT,Outside,NO_Weapon_Involved,Male,3.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Fallstaff,OTHER/RESIDENTIAL,June,evening
3GF,ROBBERY,Outside,KNIFE_CUTTING_INSTRUMENT,Male,48.0,Other,EASTERN,East Baltimore Midway,CONVENIENCE STORE,June,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Charles Village,STREET,June,evening
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,37.01136895019874,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Patterson Park,PARK,June,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,25.0,WHITE,SOUTHEAST,Bayview,OTHER/RESIDENTIAL,June,evening
6F,LARCENY,Inside,NO_Weapon_Involved,Female,36.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DOWNTOWN,STREET,June,evening
9S,SHOOTING,Outside,FIREARM,Female,42.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,ELLWOOD PARK/MONUMENT,STREET,June,night
9S,SHOOTING,Outside,FIREARM,Male,18.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,ELLWOOD PARK/MONUMENT,STREET,June,night
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,July,morning
4B,AGG. ASSAULT,Outside,FIRE_INCENDIARY_DEVICE,Male,58.0,WHITE,SOUTHERN,Carroll - Camden Industrial Area,CONVENIENCE STORE,July,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,30.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,GAY STREET,STREET,July,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,32.0,WHITE,CENTRAL,Mount Vernon,DRUG STORE / MED  BL,July,evening
6G,LARCENY,Inside,NO_Weapon_Involved,Female,29.0,WHITE,CENTRAL,Inner Harbor,STREET,July,morning
6F,LARCENY,Inside,PERSONAL_WEAPONS,Female,70.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,EDMONDSON VILLAGE,STREET,July,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Male,100.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Reisterstown Station,OTHER/RESIDENTIAL,July,morning
6J,LARCENY,Outside,NO_Weapon_Involved,Male,50.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Shipley Hill,OTHER/RESIDENTIAL,July,evening
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,37.01136895019874,Unknown,CENTRAL,Downtown,STREET,July,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,32.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,East Arlington,STREET,July,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,29.0,WHITE,NORTHEAST,North Harford Road,OTHER/RESIDENTIAL,July,evening
3AF,ROBBERY,Inside,HANDGUN,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Perring Loch,STREET,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,34.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Perring Loch,OFFICE BUILDING,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,48.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Perring Loch,OFFICE BUILDING,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,39.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Baltimore Highlands,OTHER/RESIDENTIAL,July,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,35.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Franklintown Road,OTHER/RESIDENTIAL,July,morning
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Female,66.0,WHITE,CENTRAL,BOLTON HILL,STREET,July,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Glen,OTHER/RESIDENTIAL,July,afternoon
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Franklin Square,OTHER/RESIDENTIAL,July,afternoon
6F,LARCENY,Inside,NO_Weapon_Involved,Female,24.0,Other,SOUTHEAST,Broening Manor,STREET,July,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,31.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Cherry Hill,OTHER/RESIDENTIAL,July,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Female,62.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Waltherson,STREET,July,evening
3CF,ROBBERY - COMMERCIAL,Inside,FIREARM,Not Specified,37.01136895019874,Unknown,SOUTHERN,Westport,STREET,July,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Rosemont,OTHER/RESIDENTIAL,July,night
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,EASTERN,Oliver,CONVENIENCE STORE,July,morning
6D,LARCENY FROM AUTO,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,CENTRAL,Greenmount West,PUBLIC BUILDING,July,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Violetville,SHED/GARAGE,July,afternoon
4E,COMMON ASSAULT,Inside,NO_Weapon_Involved,Male,44.0,WHITE,SOUTHEAST,Bayview,STREET,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,37.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Brooklyn,OTHER/RESIDENTIAL,July,morning
4B,AGG. ASSAULT,Inside,KNIFE_CUTTING_INSTRUMENT,Male,36.0,WHITE,SOUTHERN,Mount Winans,STREET,July,morning
4B,AGG. ASSAULT,Inside,KNIFE_CUTTING_INSTRUMENT,Female,34.0,WHITE,SOUTHERN,Mount Winans,STREET,July,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,21.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Poppleton,OTHER/RESIDENTIAL,July,morning
6F,LARCENY,Inside,NO_Weapon_Involved,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Gay Street,STREET,June,evening
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Male,27.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Millhill,OTHER/RESIDENTIAL,June,afternoon
3GF,ROBBERY,Outside,KNIFE_CUTTING_INSTRUMENT,Male,34.0,Unknown,EASTERN,East Baltimore Midway,CONVENIENCE STORE,June,night
3AJF,ROBBERY - CARJACKING,Inside,HANDGUN,Male,55.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Westport,STREET,June,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,42.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Westport,STREET,June,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,56.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Oldtown,OTHER/RESIDENTIAL,June,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Penn North,OTHER/RESIDENTIAL,June,afternoon
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,34.0,Other,SOUTHEAST,Bayview,STREET,June,afternoon
6G,LARCENY,Outside,NO_Weapon_Involved,Male,34.0,Other,NORTHERN,Hampden,OTHER/RESIDENTIAL,June,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,28.0,Unknown,NORTHEAST,Frankford,OTHER/RESIDENTIAL,June,evening
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,26.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Upton,STREET,June,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,52.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,BEECHFIELD,STREET,June,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,33.0,WHITE,SOUTHEAST,BEECHFIELD,STREET,June,morning
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Greenmount West,OFFICE BUILDING,June,night
4B,AGG. ASSAULT,Inside,KNIFE_CUTTING_INSTRUMENT,Male,32.0,Unknown,EASTERN,East Baltimore Midway,STREET,June,night
4B,AGG. ASSAULT,Inside,PERSONAL_WEAPONS,Female,34.0,WHITE,SOUTHERN,South Baltimore,STREET,June,night
8I,ARSON,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,EASTERN,East Baltimore Midway,OFFICE BUILDING,July,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,DUNBAR-BROADWAY,STREET,July,afternoon
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,CENTRAL,Inner Harbor,DRUG STORE / MED  BL,July,morning
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Walbrook,RELIGIOUS  INSTITUTI,July,night
6F,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHERN,Radnor-Winston,OTHER/RESIDENTIAL,July,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,STREET,July,evening
2A,RAPE,Outside,HANDGUN,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Dolfield,VACANT BUILDING,July,night
6J,LARCENY,Inside,NO_Weapon_Involved,Male,20.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Saint Josephs,STREET,July,morning
9S,SHOOTING,Outside,FIREARM,Male,37.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,UPTON,STREET,July,night
9S,SHOOTING,Outside,FIREARM,Male,14.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,BELAIR-EDISON,ALLEY,July,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,44.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,MIDTOWN-EDMONDSON,STREET,July,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,49.0,Other,SOUTHEAST,PATTERSON PARK,SHED/GARAGE,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,38.0,WHITE,NORTHERN,Hampden,OTHER/RESIDENTIAL,July,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Shipley Hill,OTHER/RESIDENTIAL,July,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,51.0,WHITE,SOUTHEAST,Fells Point,OTHER/RESIDENTIAL,June,night
6J,LARCENY,Inside,NO_Weapon_Involved,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Rosemont East,GAS STATION,June,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,77.0,WHITE,NORTHERN,CHARLES VILLAGE,STREET,June,afternoon
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Jonestown,OTHER/RESIDENTIAL,June,night
3CF,ROBBERY - COMMERCIAL,Outside,HANDGUN,Male,25.0,Unknown,NORTHERN,Charles Village,RESTAURANT,June,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,49.0,Other,SOUTHWEST,Allendale,STREET,June,morning
6G,LARCENY,Outside,NO_Weapon_Involved,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Irvington,SPECIALTY STORE,June,evening
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,40.0,WHITE,NORTHEAST,Mayfield,OTHER/RESIDENTIAL,June,night
3AF,ROBBERY,Inside,FIREARM,Male,74.0,Other,EASTERN,OLIVER,STREET,June,morning
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Male,45.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,West Arlington,STREET,June,night
3AJO,ROBBERY - CARJACKING,Inside,PERSONAL_WEAPONS,Female,35.0,Unknown,SOUTHERN,Port Covington,STREET,June,night
6J,LARCENY,Inside,NO_Weapon_Involved,Male,61.0,WHITE,SOUTHEAST,Patterson Park Neighborhood,STREET,June,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Male,32.0,WHITE,SOUTHEAST,Patterson Park Neighborhood,STREET,June,morning
4A,AGG. ASSAULT,Outside,MOTOR_VEHICLE_VESSEL,Female,41.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,OTHER/RESIDENTIAL,June,morning
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Male,59.0,WHITE,SOUTHERN,Curtis Bay,OTHER/RESIDENTIAL,June,night
4E,COMMON ASSAULT,Outside,NO_Weapon_Involved,Female,18.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Pleasant View Gardens,OTHER/RESIDENTIAL,June,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,51.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,June,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,44.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Franklin Square,OTHER/RESIDENTIAL,June,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,28.0,Unknown,CENTRAL,Charles North,SHED/GARAGE,June,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,25.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Charles North,STREET,June,night
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,56.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Concerned Citizens Of Forest Park,STREET,June,night
6J,LARCENY,Inside,NO_Weapon_Involved,Female,40.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Upton,STREET,June,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,40.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,New Northwood,OTHER/RESIDENTIAL,June,night
3AF,ROBBERY,Inside,HANDGUN,Male,20.0,WHITE,NORTHERN,Wilson Park,STREET,June,night
3AF,ROBBERY,Inside,HANDGUN,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Pulaski Industrial Area,STREET,June,morning
6F,LARCENY,Inside,NO_Weapon_Involved,Female,42.0,Unknown,NORTHERN,HOMELAND,STREET,June,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,OTHER/RESIDENTIAL,June,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Female,63.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Charles North,OTHER/RESIDENTIAL,June,morning
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,53.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Better Waverly,OTHER/RESIDENTIAL,June,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Male,60.0,Unknown,SOUTHERN,Brooklyn,OTHER/RESIDENTIAL,June,night
6F,LARCENY,Outside,NO_Weapon_Involved,Male,41.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Violetville,HOTEL/MOTEL,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,28.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Berea,OTHER/RESIDENTIAL,July,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Female,39.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Berea,STREET,July,afternoon
6F,LARCENY,Outside,NO_Weapon_Involved,Female,59.0,Unknown,NORTHERN,Kernewood,OTHER/RESIDENTIAL,July,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,69.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Hanlon-Longwood,STREET,July,night
2A,RAPE,Outside,PERSONAL_WEAPONS,Female,9.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Medfield,OTHER/RESIDENTIAL,July,afternoon
6F,LARCENY,Inside,NO_Weapon_Involved,Male,12.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,STREET,July,night
5F,BURGLARY,Outside,PERSONAL_WEAPONS,Female,30.0,WHITE,SOUTHERN,Brooklyn,OTHER/RESIDENTIAL,July,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,37.01136895019874,Unknown,SOUTHERN,Brooklyn,OTHER/RESIDENTIAL,July,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Male,73.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Glenham-Belhar,SHED/GARAGE,July,morning
4E,COMMON ASSAULT,Outside,NO_Weapon_Involved,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Rosemont Homeowners/Tenants,OTHER/RESIDENTIAL,July,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,48.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Panway/Braddish Avenue,STREET,July,night
6G,LARCENY,Outside,NO_Weapon_Involved,Female,27.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Madison Park,OTHER/RESIDENTIAL,July,night
2A,RAPE,Inside,PERSONAL_WEAPONS,Female,49.0,WHITE,SOUTHERN,Washington Village/Pigtown,SHED/GARAGE,July,night
3P,ROBBERY,Outside,HANDGUN,Male,31.0,Unknown,CENTRAL,DOWNTOWN,BUS/RAILROAD STATION,July,night
3AO,ROBBERY,Inside,UNKNOWN,Male,37.0,Other,SOUTHEAST,MCELDERRY PARK,STREET,July,night
6J,LARCENY,Inside,NO_Weapon_Involved,Female,24.0,Unknown,SOUTHERN,Curtis Bay,STREET,July,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Female,37.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Upton,SHED/GARAGE,July,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,28.0,Unknown,NORTHWEST,Park Circle,STREET,July,night
6F,LARCENY,Inside,NO_Weapon_Involved,Male,57.0,Unknown,WESTERN,Mondawmin,STREET,July,night
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Hamilton Hills,OTHER/RESIDENTIAL,July,night
4E,COMMON ASSAULT,Inside,UNKNOWN,Male,37.01136895019874,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Dunbar-Broadway,GAS STATION,July,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,57.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Easterwood,OTHER/RESIDENTIAL,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,44.0,Unknown,CENTRAL,Charles North,HOTEL/MOTEL,July,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,58.0,Unknown,SOUTHEAST,Patterson Park Neighborhood,STREET,July,afternoon
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,41.0,Unknown,SOUTHEAST,McElderry Park,STREET,July,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,37.0,Unknown,SOUTHEAST,Ellwood Park/Monument,STREET,July,afternoon
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,33.0,Unknown,SOUTHEAST,Graceland Park,STREET,July,night
6F,LARCENY,Outside,NO_Weapon_Involved,Male,49.0,Other,SOUTHEAST,McElderry Park,OTHER/RESIDENTIAL,July,night
3AF,ROBBERY,Inside,HANDGUN,Female,45.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,HOLLINS MARKET,STREET,July,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,49.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Westgate,OTHER/RESIDENTIAL,July,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,53.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Mount Vernon,OTHER/RESIDENTIAL,July,night
6J,LARCENY,Outside,NO_Weapon_Involved,Female,41.0,Unknown,SOUTHERN,Cherry Hill,OTHER/RESIDENTIAL,July,afternoon
4A,AGG. ASSAULT,Outside,MOTOR_VEHICLE_VESSEL,Male,47.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,OTHER/RESIDENTIAL,June,morning
6F,LARCENY,Inside,NO_Weapon_Involved,Male,23.0,WHITE,SOUTHEAST,LITTLE ITALY,STREET,June,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,42.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Concerned Citizens Of Forest Park,OTHER/RESIDENTIAL,June,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,19.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Pen Lucy,OTHER/RESIDENTIAL,June,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,57.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Greenspring,OTHER/RESIDENTIAL,June,afternoon
3AF,ROBBERY,Inside,HANDGUN,Female,31.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Ellwood Park/Monument,STREET,June,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,24.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Reservoir Hill,OTHER/RESIDENTIAL,June,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,39.0,WHITE,SOUTHEAST,Brewers Hill,STREET,June,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Male,62.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Glen Oaks,STREET,June,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Male,50.0,Unknown,SOUTHEAST,Graceland Park,OTHER/RESIDENTIAL,June,evening
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,23.0,WHITE,NORTHEAST,Coldstream Homestead Montebello,OTHER/RESIDENTIAL,June,morning
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,41.0,Other,WESTERN,Penrose/Fayette Street Outreach,STREET,June,evening
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Female,48.0,WHITE,CENTRAL,Downtown West,HOTEL/MOTEL,June,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,53.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Canton Industrial Area,SHED/GARAGE,June,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,23.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Reservoir Hill,OTHER/RESIDENTIAL,June,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,62.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Glenham-Belhar,OTHER/RESIDENTIAL,June,night
4C,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,64.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Ramblewood,OTHER/RESIDENTIAL,June,night
3AJO,ROBBERY - CARJACKING,Inside,PERSONAL_WEAPONS,Male,51.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,PULASKI INDUSTRIAL AREA,SHED/GARAGE,June,morning
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,18.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Park Circle,OTHER/RESIDENTIAL,June,morning
2A,RAPE,Outside,NO_Weapon_Involved,Female,17.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Towanda-Grantley,OTHER/RESIDENTIAL,June,morning
4B,AGG. ASSAULT,Outside,BLUNT_OBJECT,Male,47.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,McElderry Park,OTHER/RESIDENTIAL,June,morning
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,31.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Medfield,OTHER/RESIDENTIAL,June,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,26.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,OTHER/RESIDENTIAL,June,afternoon
4E,COMMON ASSAULT,Outside,NO_Weapon_Involved,Male,21.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,East Baltimore Midway,PUBLIC BUILDING,June,morning
4D,AGG. ASSAULT,Inside,HANDGUN,Female,15.0,WHITE,NORTHERN,Wilson Park,STREET,June,night
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Rosemont,GAS STATION,June,night
